,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
495,Vardo,90,US,51,39.62,-77.74,35.6,17.22
496,Laguna,5,MX,41,27.52,-110.01,75.2,5.82
497,Severnoye,88,RU,85,54.09,52.54,13.67,7.74
498,Faya,0,SA,81,18.39,42.45,57.2,3.27
499,Kasongo-Lunda,0,CD,98,-6.48,16.82,67,2.15
500,Darhan,0,MN,52,49.49,105.92,6.02,4.72
501,Nova Granada,0,BR,57,-20.53,-49.32,78.8,6.93
502,Tezu,0,IN,46,27.93,96.16,60.74,1.59
503,Ternate,40,PH,74,14.29,120.72,82.4,1.12
504,Fortuna,0,ES,50,38.18,-1.13,55.4,13.87
505,La Ronge,90,CA,78,55.1,-105.3,12.2,11.41
506,Omboue,92,GA,100,-1.57,9.26,80.05,6.73
507,Lubao,20,PH,65,14.94,120.6,82.4,9.17
508,Calama,0,CL,71,-22.46,-68.93,57.2,14.99
509,Evreux,90,FR,93,49.02,1.15,48.2,9.17
511,Shuangcheng,0,CN,47,45.37,126.3,15.8,11.18
512,Omemee,90,CA,92,44.3,-78.56,30.2,11.41
513,Bama,0,CN,74,24.14,107.25,68.62,3.6
514,Watertown,90,US,61,44.9,-97.12,21.74,5.82
515,Gobabis,0,NA,30,-22.45,18.97,60.74,13.78
516,Prince Rupert,90,CA,100,54.32,-130.32,46.4,2.15
517,Sigayevo,68,RU,83,56.42,53.78,18.89,4.38
518,Yinchuan,8,CN,51,38.48,106.21,38.24,4.16
520,Orsha,88,BY,90,54.51,30.43,19.25,10.31
521,Huarmey,0,PE,89,-10.07,-78.15,56.06,3.27
522,Mahibadhoo,80,MV,100,3.78,72.97,81.26,14.56
523,Livingston,1,US,94,32.58,-88.19,37.04,3.94
524,Bangkalan,20,ID,62,-7.05,112.74,87.8,3.36
525,Gualeguay,68,AR,95,-33.15,-59.31,63.13,9.75
526,Almaznyy,75,RU,100,48.03,40.04,33.8,6.71
527,Saint-Joseph,0,FR,73,43.56,6.97,42.8,4.7
529,Zaysan,76,KZ,84,47.47,84.87,20.83,2.26
530,Villa Sandino,24,NI,75,12.05,-84.99,78.92,8.75
531,Rawson,80,AR,77,-43.3,-65.11,59.3,8.52
534,Charlestown,75,US,67,41.38,-71.64,42.08,6.93
535,Chapada dos Guimaraes,0,BR,69,-15.46,-55.75,82.4,2.24
536,Virginia Beach,90,US,64,36.85,-75.98,44.96,9.17
537,Hervey Bay,40,AU,66,-25.3,152.85,89.6,21.92
538,Sinnamary,92,GF,100,5.38,-52.96,77.57,7.96
539,Kupang,75,ID,79,-10.16,123.6,84.2,4.7
540,Cerna,90,HR,95,45.19,18.69,32,9.17
541,Barcarena,0,BR,88,-1.51,-48.62,77,3.36
542,Fantino,40,DO,74,19.12,-70.3,78.8,4.7
544,Beloha,0,MG,76,-25.17,45.06,72.89,4.83
545,Bayangol,0,MN,52,48.91,106.09,6.02,4.72
546,Xinzhou,0,CN,72,38.41,112.73,34.78,3.49
547,Manzini,32,SZ,88,-26.5,31.37,78.8,3.36
548,Sidi Ali,0,DZ,87,36.1,0.42,38.15,2.71
549,Astana,90,KZ,73,51.13,71.43,26.6,15.66
550,Eenhana,20,NA,96,-17.48,16.34,62.59,5.5
551,Oranjemund,0,ZA,97,-28.55,16.43,58.85,20.27
552,Rock Sound,92,BS,100,24.9,-76.2,74.96,17.02
554,Nemuro,20,JP,100,43.32,145.57,42.8,3.36
555,Mouzouras,75,GR,82,35.53,24.15,59,11.41
556,Horsham,8,AU,71,-36.71,142.2,69.79,13
558,Bud,0,NO,73,62.91,6.91,33.8,10.29
559,Flagstaff,1,US,27,35.2,-111.65,51.8,3.36
560,Ishigaki,75,JP,73,24.34,124.16,73.4,9.17
561,Ostrovnoy,24,RU,86,68.05,39.51,8.36,8.52
564,Port Shepstone,88,ZA,99,-30.74,30.45,65.47,25.08
565,Reyes,76,BO,97,-14.3,-67.34,71.72,2.15
566,Leh,80,IN,72,34.16,77.58,-2.26,1.81
567,Ha Tinh,92,VN,100,18.33,105.9,73.03,17.47
568,Bundaberg,40,AU,66,-24.87,152.35,89.6,21.92
569,Witbank,56,ZA,83,-25.87,29.23,61.82,4.94
570,Djibo,0,BF,53,14.1,-1.63,61.15,4.94
571,Abu Zabad,0,SD,31,12.35,29.25,64.57,11.77
572,Aksha,0,RU,45,50.28,113.29,5.66,7.4
573,Barbate,20,ES,87,36.19,-5.92,51.8,2.24
574,Nogliki,64,RU,100,51.8,143.14,25.6,18.37
575,Half Moon Bay,90,US,100,37.46,-122.43,62.6,11.41
576,Boddam,90,GB,93,57.47,-1.78,44.6,23.04
577,Luchenza,56,MW,83,-16.01,35.31,67.99,2.48
578,Salamiyah,8,SY,75,35.01,37.05,35.72,3.6
579,Roebourne,0,AU,23,-20.77,117.15,89.99,9.86
580,Walvis Bay,0,NA,87,-22.95,14.51,57.2,6.93
581,Dawei,0,MM,66,14.07,98.19,78.92,4.61
582,Carbonia,0,IT,71,39.17,8.53,51.8,6.93
583,Sioux Lookout,90,CA,92,50.1,-91.92,12.2,2.24
584,Cap Malheureux,20,MU,83,-19.98,57.61,75.2,8.05
585,Tutoia,56,BR,90,-2.76,-42.27,78.47,7.74
586,Tocopilla,8,CL,100,-22.09,-70.2,58.63,0.58
587,ChengDe,92,CN,23,40.97,117.93,32.3,3.49
588,Lugo,20,ES,83,43.01,-7.56,48.1,10.76
590,Manikpur,48,IN,80,25.07,81.1,67.72,4.38
591,Jambi,76,ID,95,-1.6,103.62,79.46,3.94
592,Middletown,75,US,65,41.55,-71.29,41,12.75
593,Iranshahr,0,IR,84,27.21,60.69,38.87,1.7
